,rmse,mean,median,std,min,max,sse
f_corridor1_512_mono-inertial_1.txt,0.2647844082515822,0.164809123189178,0.1937999118737402,0.2072407676273057,0.04507485843006552,2.9302251522187373,64.78236335630189
f_corridor1_512_mono-inertial_10.txt,0.15394702990572337,0.11809213671879486,0.2020305526863327,0.09876201325399935,0.0012299114060051216,0.32028012201737344,21.898511727517366
f_corridor1_512_mono-inertial_2.txt,0.26768607550358864,0.20401547141066317,0.3532582505745269,0.1733018246978312,0.00129109297356444,0.41576587284646255,66.20999155710597
f_corridor1_512_mono-inertial_3.txt,0.06885045026521648,0.04321457630980238,0.04787076737819937,0.05359929939922084,0.003799906108704488,0.8236707012457497,4.380115279592097
f_corridor1_512_mono-inertial_4.txt,0.2566780977389976,0.2069782588929579,0.31275553818118135,0.15180133795375486,0.0034491017061417956,0.4846384804766213,56.59405179280403
f_corridor1_512_mono-inertial_5.txt,0.20489801276498543,0.15899453030143212,0.2478380383811437,0.12924370378965122,0.0035422039688134143,1.172376415377447,38.79247276677708
f_corridor1_512_mono-inertial_6.txt,0.0789142605033147,0.061812061352853644,0.09801924225510757,0.04905843028569167,0.00040062721852788803,0.12557365916405022,5.754173511965352
f_corridor1_512_mono-inertial_7.txt,0.047880259162255294,0.0389459505278137,0.05110149366034572,0.027851968600618147,0.0006706189318335248,0.08183271251336638,2.1182877569189325
f_corridor1_512_mono-inertial_8.txt,0.10798798842885009,0.04775786246386924,0.0383676123859436,0.09685345743850143,0.015491481729959553,1.2654595610331643,10.77513881589634
f_corridor1_512_mono-inertial_9.txt,0.12829860896015283,0.06872965802546742,0.06525961350498785,0.10833636124964001,0.022862714340592994,1.7668601089267542,15.20953254846583
f_corridor1_512_stereo-inertial_1.txt,0.07987034408104493,0.061117560577098294,0.09307891305841962,0.05141902034003789,0.0012712236619109108,0.13246940211222644,6.2134107951702715
f_corridor1_512_stereo-inertial_10.txt,0.10893377069633417,0.08207484664491296,0.1279497272205391,0.07162601445240081,0.001057740926040125,0.17004372434390652,11.558035671770353
f_corridor1_512_stereo-inertial_2.txt,0.04467788352838301,0.035773779967305526,0.048209732321521565,0.0267647145216714,0.001115633696657033,0.08415118207232464,1.9442143313847886
f_corridor1_512_stereo-inertial_3.txt,0.07775940703395608,0.05932817258759443,0.06691351358740152,0.0502662244423536,0.0011061879670467376,0.13527439403386635,5.889315722333374
f_corridor1_512_stereo-inertial_4.txt,0.013911371541441897,0.01222272747459247,0.010937818495696121,0.006643131132672443,0.0006698756723494013,0.036551307028802875,0.18849457545177445
f_corridor1_512_stereo-inertial_5.txt,0.06153462018257574,0.04783031904033278,0.06284703678062503,0.03871395176824288,0.0010480342811072787,0.11116439250220637,3.688060234507497
f_corridor1_512_stereo-inertial_6.txt,0.07199747453812148,0.05545316006578874,0.0805046360954509,0.04591931378609077,0.000775604542813686,0.12477062515970905,5.0488617950308985
f_corridor1_512_stereo-inertial_7.txt,0.013421473213246113,0.011851141613240334,0.010860946260221459,0.006299713142422141,0.0013654598686262851,0.034116528909027916,0.175452408690322
f_corridor1_512_stereo-inertial_8.txt,0.06987180060031332,0.054202875481864594,0.0829056450895346,0.044092139986934495,0.0015470425425711122,0.11397303176815639,4.7551347376325666
f_corridor1_512_stereo-inertial_9.txt,0.012994467149739746,0.011552808666958837,0.010501281546208881,0.005948847653983597,0.0007006760475835955,0.036199622350151284,0.16446591591651807
